日期,类型
2026-01-01,法定三薪
2026-01-02,法定休假
2026-01-03,法定休假
2026-01-04,法定补班
2026-02-14,法定补班
2026-02-15,法定休假
2026-02-16,法定三薪
2026-02-17,法定三薪
2026-02-18,法定三薪
2026-02-19,法定三薪
2026-02-20,法定休假
2026-02-21,法定休假
2026-02-22,法定休假
2026-02-23,法定休假
2026-02-28,法定补班
2026-04-04,法定休假
2026-04-05,法定三薪
2026-04-06,法定休假
2026-05-01,法定三薪
2026-05-02,法定三薪
2026-05-03,法定休假
2026-05-04,法定休假
2026-05-05,法定休假
2026-05-09,法定补班
2026-06-19,法定三薪
2026-06-20,法定休假
2026-06-21,法定休假
2026-09-20,法定补班
2026-09-25,法定三薪
2026-09-26,法定休假
2026-09-27,法定休假
2026-10-01,法定三薪
2026-10-02,法定三薪
2026-10-03,法定三薪
2026-10-04,法定休假
2026-10-05,法定休假
2026-10-06,法定休假
2026-10-07,法定休假
2026-10-10,法定补班
